Episode 95/10000, Total Reward: -42, Epsilon: 0.9905445119027773
Episode 96/10000, Total Reward: -10, Epsilon: 0.990445457451587
Episode 97/10000, Total Reward: -42, Epsilon: 0.9903464129058418
Episode 98/10000, Total Reward: -74, Epsilon: 0.9902473782645512
Episode 99/10000, Total Reward: 48, Epsilon: 0.9901483535267248
Episode 100/10000, Total Reward: -74, Epsilon: 0.9900493386913721
Episode 101/10000, Total Reward: -42, Epsilon: 0.989950333757503
Episode 102/10000, Total Reward: -42, Epsilon: 0.9898513387241272
Episode 103/10000, Total Reward: 16, Epsilon: 0.9897523535902548
Episode 104/10000, Total Reward: -10, Epsilon: 0.9896533783548958
Episode 105/10000, Total Reward: 16, Epsilon: 0.9895544130170603
Episode 106/10000, Total Reward: 48, Epsilon: 0.9894554575757586
Episode 107/10000, Total Reward: -42, Epsilon: 0.9893565120300011
Episode 108/10000, Total Reward: 16, Epsilon: 0.9892575763787981
Episode 109/10000, Total Reward: 80, Epsilon: 0.9891586506211602
Episode 110/10000, Total Reward: 48, Epsilon: 0.9890597347560981
Episode 111/10000, Total Reward: -74, Epsilon: 0.9889608287826225
Episode 112/10000, Total Reward: 48, Epsilon: 0.9888619326997442
Episode 113/10000, Total Reward: 16, Epsilon: 0.9887630465064743
Episode 114/10000, Total Reward: -74, Epsilon: 0.9886641702018236
Episode 115/10000, Total Reward: 16, Epsilon: 0.9885653037848035
Episode 116/10000, Total Reward: -74, Epsilon: 0.988466447254425
Episode 117/10000, Total Reward: 16, Epsilon: 0.9883676006096995
Episode 118/10000, Total Reward: -42, Epsilon: 0.9882687638496386
Episode 119/10000, Total Reward: -74, Epsilon: 0.9881699369732536
Episode 120/10000, Total Reward: -74, Epsilon: 0.9880711199795563
edge already selected: 8
Episode 121/10000, Total Reward: -10000000074, Epsilon: 0.9879723128675584
Episode 122/10000, Total Reward: -74, Epsilon: 0.9878735156362717
Episode 123/10000, Total Reward: -42, Epsilon: 0.987774728284708
Episode 124/10000, Total Reward: 48, Epsilon: 0.9876759508118795
Episode 125/10000, Total Reward: -74, Epsilon: 0.9875771832167983
Episode 126/10000, Total Reward: 22, Epsilon: 0.9874784254984766
Episode 127/10000, Total Reward: -10, Epsilon: 0.9873796776559268
Episode 128/10000, Total Reward: -10, Epsilon: 0.9872809396881612
Episode 129/10000, Total Reward: -10, Epsilon: 0.9871822115941924
Episode 130/10000, Total Reward: -42, Epsilon: 0.987083493373033
Episode 131/10000, Total Reward: 48, Epsilon: 0.9869847850236957
edge already selected: 8
Episode 132/10000, Total Reward: -9999999984, Epsilon: 0.9868860865451933
Episode 133/10000, Total Reward: 16, Epsilon: 0.9867873979365388
Episode 134/10000, Total Reward: 48, Epsilon: 0.9866887191967452
Episode 135/10000, Total Reward: 16, Epsilon: 0.9865900503248255
Episode 136/10000, Total Reward: 48, Epsilon: 0.986491391319793
Episode 137/10000, Total Reward: 16, Epsilon: 0.9863927421806611
Episode 138/10000, Total Reward: -10, Epsilon: 0.986294102906443
Episode 139/10000, Total Reward: -74, Epsilon: 0.9861954734961524
Episode 140/10000, Total Reward: 16, Epsilon: 0.9860968539488029
Episode 141/10000, Total Reward: 318, Epsilon: 0.985998244263408
Episode 142/10000, Total Reward: -42, Epsilon: 0.9858996444389817
Episode 143/10000, Total Reward: 48, Epsilon: 0.9858010544745378
Episode 144/10000, Total Reward: 16, Epsilon: 0.9857024743690904
edge already selected: 19
Episode 145/10000, Total Reward: -10000000042, Epsilon: 0.9856039041216536
Episode 146/10000, Total Reward: -42, Epsilon: 0.9855053437312414
Episode 147/10000, Total Reward: -74, Epsilon: 0.9854067931968683
Episode 148/10000, Total Reward: 16, Epsilon: 0.9853082525175486
Episode 149/10000, Total Reward: 16, Epsilon: 0.9852097216922968
Episode 150/10000, Total Reward: 16, Epsilon: 0.9851112007201276
Episode 151/10000, Total Reward: 48, Epsilon: 0.9850126896000556
Episode 152/10000, Total Reward: -42, Epsilon: 0.9849141883310956
Episode 153/10000, Total Reward: -42, Epsilon: 0.9848156969122625
Episode 154/10000, Total Reward: 16, Epsilon: 0.9847172153425713
Episode 155/10000, Total Reward: -42, Epsilon: 0.9846187436210371
Episode 156/10000, Total Reward: 16, Epsilon: 0.9845202817466749
Episode 157/10000, Total Reward: -74, Epsilon: 0.9844218297185002
Episode 158/10000, Total Reward: -74, Epsilon: 0.9843233875355284
Episode 159/10000, Total Reward: -10, Epsilon: 0.9842249551967749
Episode 160/10000, Total Reward: -74, Epsilon: 0.9841265327012553
Episode 161/10000, Total Reward: 16, Epsilon: 0.9840281200479851
Episode 162/10000, Total Reward: -74, Epsilon: 0.9839297172359803
Episode 163/10000, Total Reward: 16, Epsilon: 0.9838313242642568
Episode 164/10000, Total Reward: 16, Epsilon: 0.9837329411318304
edge already selected: 19
Episode 165/10000, Total Reward: -10000000074, Epsilon: 0.9836345678377172
Episode 166/10000, Total Reward: -74, Epsilon: 0.9835362043809335
Episode 167/10000, Total Reward: -74, Epsilon: 0.9834378507604954
Episode 168/10000, Total Reward: 16, Epsilon: 0.9833395069754194
Episode 169/10000, Total Reward: 16, Epsilon: 0.9832411730247218
Episode 170/10000, Total Reward: 80, Epsilon: 0.9831428489074193
Episode 171/10000, Total Reward: 16, Epsilon: 0.9830445346225286
Episode 172/10000, Total Reward: -42, Epsilon: 0.9829462301690663
Episode 173/10000, Total Reward: 80, Epsilon: 0.9828479355460494
Episode 174/10000, Total Reward: 16, Epsilon: 0.9827496507524949
Episode 175/10000, Total Reward: -74, Epsilon: 0.9826513757874197
Episode 176/10000, Total Reward: 16, Epsilon: 0.982553110649841
edge already selected: 19
Episode 177/10000, Total Reward: -9999999978, Epsilon: 0.982454855338776
Episode 178/10000, Total Reward: 16, Epsilon: 0.9823566098532421
Episode 179/10000, Total Reward: -74, Epsilon: 0.9822583741922568
Episode 180/10000, Total Reward: -10, Epsilon: 0.9821601483548376
Episode 181/10000, Total Reward: -10, Epsilon: 0.982061932340002
Episode 182/10000, Total Reward: -42, Epsilon: 0.9819637261467681
Episode 183/10000, Total Reward: -42, Epsilon: 0.9818655297741534
Episode 184/10000, Total Reward: 16, Epsilon: 0.981767343221176
Episode 185/10000, Total Reward: -74, Epsilon: 0.9816691664868539
Episode 186/10000, Total Reward: -40, Epsilon: 0.9815709995702052
Episode 187/10000, Total Reward: -42, Epsilon: 0.9814728424702482
Episode 188/10000, Total Reward: 16, Epsilon: 0.9813746951860012
Episode 189/10000, Total Reward: 48, Epsilon: 0.9812765577164826
edge already selected: 19
Episode 190/10000, Total Reward: -9999999920, Epsilon: 0.9811784300607109
Episode 191/10000, Total Reward: -74, Epsilon: 0.9810803122177049
Episode 192/10000, Total Reward: -74, Epsilon: 0.9809822041864831
edge already selected: 19
Episode 193/10000, Total Reward: -9999999984, Epsilon: 0.9808841059660645
Episode 194/10000, Total Reward: 16, Epsilon: 0.9807860175554679
Episode 195/10000, Total Reward: 16, Epsilon: 0.9806879389537123
Episode 196/10000, Total Reward: 16, Epsilon: 0.9805898701598169
Episode 197/10000, Total Reward: 48, Epsilon: 0.9804918111728009
Episode 198/10000, Total Reward: 16, Epsilon: 0.9803937619916837
Episode 199/10000, Total Reward: 16, Epsilon: 0.9802957226154846
Episode 200/10000, Total Reward: -10, Epsilon: 0.980197693043223
Episode 201/10000, Total Reward: -42, Epsilon: 0.9800996732739187
Episode 202/10000, Total Reward: -10, Epsilon: 0.9800016633065913
Episode 203/10000, Total Reward: 16, Epsilon: 0.9799036631402607
Episode 204/10000, Total Reward: 16, Epsilon: 0.9798056727739467
edge already selected: 19
Episode 205/10000, Total Reward: -9999999984, Epsilon: 0.9797076922066693
Episode 206/10000, Total Reward: -42, Epsilon: 0.9796097214374486
edge already selected: 19
Episode 207/10000, Total Reward: -10000000042, Epsilon: 0.9795117604653049
Episode 208/10000, Total Reward: 16, Epsilon: 0.9794138092892584
Episode 209/10000, Total Reward: -42, Epsilon: 0.9793158679083295
Episode 210/10000, Total Reward: 48, Epsilon: 0.9792179363215386
edge already selected: 19
Episode 211/10000, Total Reward: -9999999952, Epsilon: 0.9791200145279065
